,context_sentence,pair_ID,is_in_train,name,output_name,score
85,MASK,42,1,Darryn Hill,Dar ##ryn Hill,0.9345388412475586
86,MASK,43,0,Walter J. Wessels,Walter J . Wes ##sel ##s,0.9253919720649719
87,MASK,43,1,Khalid Boulami,Khalid Bo ##ula ##mi,0.981509804725647
88,MASK,44,0,William Rossiter,William Rossi ##ter,0.9980440735816956
89,MASK,44,1,Danie van Schalkwyk,Dani ##e van Sc ##hal ##k ##wy ##k,0.8567190170288086
90,MASK,45,0,Heinrich Gertenbach,Heinrich G ##ert ##enbach,0.9944362640380859
91,MASK,45,1,Jim Grabb,Jim G ##rab ##b,0.9398834109306335
92,MASK,46,0,Seyed A R Mousavi,A R Mo ##usa ##vi,0.8443285226821899
93,MASK,46,1,Newt Gingrich,New ##t G ##ing ##rich,0.8975753784179688
94,MASK,47,0,Jürgen Möller,J ##ü ##rgen M ##ö ##ller,0.897754967212677
95,MASK,47,1,Svetlana Masterkova,S ##vet ##lana Master ##kova,0.8251808881759644
96,MASK,48,0,Albert Magnin,Albert Ma ##gni ##n,0.9809804558753967
97,MASK,48,1,Tristan Hoffman,Tristan Hoffman,0.9991371631622314
98,MASK,49,0,Francisco de Paula Tarín,Francisco de Paula Ta ##r ##ín,0.9650447964668274
99,MASK,49,1,Derrick Adkins,Derrick Ad ##kins,0.9987888336181641
100,MASK,50,0,Narbal Fontes,Na ##rb ##al F ##onte ##s,0.9836854934692383
101,MASK,50,1,Michael Doohan,Michael Doo ##han,0.9967162609100342
102,MASK,51,0,Joseph Albrecht Erzherzog von Österreich,Joseph Al ##brecht E ##rz ##her ##zo ##g von Ö ##ster ##re ##ich,0.7069247961044312
103,MASK,51,1,Edvard Grieg,Ed ##vard G ##rie ##g,0.9834954142570496
104,MASK,52,0,Colin Makgill Smith,Colin Ma ##k ##gill Smith,0.9672919511795044
105,MASK,52,1,Anis Ahmed,An ##is Ahmed,0.9473385810852051
106,MASK,53,0,Tadeusz Wróbel,Tad ##eus ##z W ##r ##ó ##bel,0.8238054513931274
107,MASK,53,1,Mika Salo,Mi ##ka Sal ##o,0.9091670513153076
108,MASK,54,0,Brad Diller,Brad Di ##ller,0.9692739844322205
109,MASK,54,1,Rafiqul Islam,Ra ##fi ##q ##ul Islam,0.9401799440383911
110,MASK,55,0,Christel Dagher,Christ ##el Da ##gh ##er,0.980008602142334
111,MASK,55,1,Joey Hamilton,Joey Hamilton,0.9988045692443848
112,MASK,56,0,Borja Belda Palazón,Bo ##ja Bel ##da Pa ##la ##z ##ón,0.9222451448440552
113,MASK,56,1,Moin Khan,Mo ##in Khan,0.9010694026947021
114,MASK,57,0,Rene Vidal,Rene V ##idal,0.9978986382484436
115,MASK,57,1,Grant Flower,Grant Flower,0.9964514970779419
116,MASK,58,0,James Fenelon,James Fen ##elo ##n,0.9923917055130005
117,MASK,58,1,Justin Marshall,Justin Marshall,0.9989891052246094
118,MASK,59,0,Else Föry-Ostheber,El ##se F ##ö ##ry O ##st ##he,0.7313873767852783
119,MASK,59,1,Ludmila Engquist,Lu ##d ##mi ##la En ##g ##quist,0.8641752600669861
120,MASK,60,0,Gary Hooker,Gary Hooker,0.9988542795181274
121,MASK,60,1,Kevin Brown,Kevin Brown,0.9991374015808105
122,MASK,61,0,Henri Bergmann,Henri Bergman ##n,0.9830566048622131
123,MASK,61,1,Lajos Horvath,La ##jos Ho ##rva ##th,0.9571800231933594
124,MASK,62,0,Patrick Paroubek,Patrick Pa ##rou ##bek,0.9898771047592163
125,MASK,62,1,Jordi Cruyff,Jo ##rdi C ##ru ##y ##ff,0.7420852184295654
126,MASK,63,0,Mike Olscamp,Mike O ##ls ##cam ##p,0.9395753741264343
127,MASK,63,1,Dave Nilsson,Dave Ni ##lsson,0.994240939617157
128,MASK,64,0,Catherine A Marco,Catherine A Marco,0.9860002994537354
129,MASK,64,1,Craig Evans,Craig Evans,0.9992160797119141
130,MASK,65,0,Joseph de  Diesbach,Joseph de Die ##s ##bach,0.9818822145462036
131,MASK,65,1,Amanda Coetzer,Amanda Co ##et ##zer,0.9762611389160156
132,MASK,66,0,Lora Webb Nichols,Lo ##ra Webb Nichols,0.8865656852722168
133,MASK,66,1,David Coulthard,David Co ##ult ##hard,0.9891673922538757
134,MASK,67,0,Michael Perret,Michael Per ##ret,0.997447669506073
135,MASK,67,1,Rita Grande,Rita Grande,0.9947562217712402
136,MASK,68,0,Victor Mikhailovich Petrogradsky,Victor Mikhail ##ovich Pet ##rog ##rad ##sky,0.862456738948822
137,MASK,68,1,Shay Given,Shay Given,0.9988992214202881
138,MASK,69,0,Emil Otto Grundmann,Emil Otto G ##run ##dman ##n,0.9226606488227844
139,MASK,69,1,Zinzan Brooke,Z ##in ##zan Brooke,0.7016637325286865
140,MASK,70,0,Wilfried Möckel,W ##il ##fried M ##ö ##cke ##l,0.90252685546875
141,MASK,70,1,Ana Fidelia Quirot,Ana Fi ##del ##ia Q ##ui ##rot,0.9924089312553406
142,MASK,71,0,Teresa Vinyoles Vidal,Teresa Vin ##yo ##les V ##idal,0.9904479384422302
143,MASK,71,1,Andrei Pavel,Andrei Pavel,0.9984604120254517
144,MASK,72,0,Matthiew Gingold,Matt ##hi ##ew G ##ing ##old,0.9881511330604553
145,MASK,72,1,Paul Newlove,Paul New ##love,0.9984387755393982
146,MASK,73,0,M A Adams,M A Adams,0.9448785781860352
147,MASK,73,1,Lisa Raymond,Lisa Raymond,0.99863600730896
148,MASK,74,0,Carol Fryer,Carol Fry ##er,0.9882955551147461
149,MASK,74,1,Bill Birch,Bill Birch,0.9977145791053772
150,MASK,75,0,Ali Raymer,Ali Ray ##mer,0.9985219836235046
151,MASK,75,1,Stephen Field,Stephen Field,0.999200701713562
152,MASK,76,0,Duchess of Santángelo,Duchess of Sant ##án ##gel ##o,0.7425487041473389
153,MASK,76,1,David Harding,David Harding,0.9990358352661133
154,MASK,77,0,Nel Goedhart,N ##el Go ##ed ##hart,0.953055739402771
155,MASK,77,1,John Newcombe,John New ##combe,0.9955108761787415
156,MASK,78,0,Tobias Mittermayer,Tobias Mi ##tter ##ma ##yer,0.8623525500297546
157,MASK,78,1,Sam Nelson,Sam Nelson,0.9977837204933167
158,MASK,79,0,Reinhard Kiauka,Re ##in ##hard Ki ##au ##ka,0.8576855659484863
159,MASK,79,1,Lewis Martin,Lewis Martin,0.9991937279701233
160,MASK,80,0,Jabaal Sheard,J ##aba ##al Shea ##rd,0.9707322120666504
161,MASK,80,1,Eugen Voica,E ##ugen V ##oi ##ca,0.9780169725418091
162,MASK,81,0,Sam Longmire,Sam Long ##mir ##e,0.9595562219619751
163,MASK,81,1,David Sesa,David Se ##sa,0.9907240271568298
164,MASK,82,0,Raymond Revellin-Clerc,Raymond Rev ##elli ##n - C ##ler ##c,0.9095923900604248
165,MASK,82,1,Graeme Obree,Graeme O ##bre ##e,0.9852101802825928
166,MASK,83,0,Xiaohu Zhao,Xiao ##hu Zhao,0.6894904971122742
167,MASK,83,1,Sheu Yuan-dong,She ##u Yuan,0.8581361770629883
168,MASK,84,0,Martin van Zyl,Martin van Z ##yl,0.8897340297698975
169,MASK,84,1,Peter Blackburn,Peter Blackburn,0.9990557432174683
170,MASK,85,0,F. A. Robinson,F . A . Robinson,0.6884191036224365
171,MASK,85,1,Scott Randall,Scott Randall,0.9983110427856445
172,MASK,86,0,Pratheeksha G Pradeep,P ##rat ##hee ##ks ##ha P ##ep,0.779576301574707
173,MASK,86,1,Arthur Levitt,Arthur Levi ##tt,0.9985523223876953
174,MASK,87,0,Hajime Kimizuka,Ha ##ji ##me Kim ##iz ##uka,0.8865024447441101
175,MASK,87,1,Faustino Asprilla,Faust ##ino As ##p ##rilla,0.9831260442733765
176,MASK,88,0,Konrad IV von Oettingen,Konrad IV von O ##etti ##nge ##n,0.7283158302307129
177,MASK,88,1,Charles Austin,Charles Austin,0.9967347979545593
178,MASK,89,0,Sano Naoyoshi,San ##o Na ##oy ##oshi,0.867389976978302
179,MASK,89,1,Merlene Ottey,Me ##rlene O ##tte ##y,0.9103500247001648
180,MASK,90,0,Somayeh Sojoudi,So ##ma ##yeh So ##jou ##di,0.9536285400390625
181,MASK,90,1,Stefan Reuter,Stefan Re ##uter,0.9926881790161133
182,MASK,91,0,Helmuth Schaller,Helmut ##h Sc ##hall ##er,0.990174412727356
183,MASK,91,1,Joe Carter,Joe Carter,0.9971644282341003
184,MASK,92,0,Philipp Jakob Bauer,Philipp Jakob Bauer,0.9975031018257141
185,MASK,92,1,Heike Drechsler,He ##ike Dr ##ech ##sler,0.9130100011825562
186,MASK,93,0,Fernando M Dos Santos,Fernando M Do ##s Santos,0.9950315356254578
187,MASK,93,1,Franka Dietzsch,Frank ##a Diet ##z ##sch,0.9714154005050659
188,MASK,94,0,S. D. Holdsworth,S . D . Hold ##sworth,0.8566643595695496
189,MASK,94,1,Andrea Collinelli,Andrea Collin ##elli,0.985748291015625
190,MASK,95,0,Sunde Yilmaz Süslüer,Sun ##de Yi ##lma ##z S ##ü ##s ##l ##ü,0.5109090805053711
191,MASK,95,1,Georges Simenon,Georges Si ##men ##on,0.9914978742599487
192,MASK,96,0,Lilian Caroline Georgiana Clay,Lil ##ian Caroline Georgian ##a Clay,0.9630310535430908
193,MASK,96,1,Brian Gilbertson,Brian Gilbert ##son,0.9955149292945862
194,MASK,97,0,Douglas Stuart McLay,Douglas Stuart M ##c ##L ##ay,0.9518657326698303
195,MASK,97,1,Jason Wong,Jason Wong,0.999046266078949
196,MASK,98,0,Wing Ho Man,Wing Ho Man,0.6278386116027832
197,MASK,98,1,Phillip DeFreitas,Phillip De ##F ##re ##itas,0.9650214910507202
198,MASK,99,0,Antonio Jaques Díaz de la Quintana,Antonio J ##aque ##s Díaz de la Q ##uin ##tana,0.9884505271911621
199,MASK,99,1,Thabo Mbeki,T ##hab ##o M ##bek ##i,0.8839394450187683
200,MASK,100,0,Julien Klimmt,Julien K ##lim ##m,0.9637129902839661
201,MASK,100,1,Andrei Olhovskiy,Andrei O ##l ##hov ##ski ##y,0.949990451335907
202,MASK,101,0,Helena Kjöllerström,Helena K ##j ##ö ##llers ##tröm,0.9627211689949036
203,MASK,101,1,Mike Piazza,Mike Pi ##azza,0.9589359164237976
204,MASK,102,0,Gottfried Schafbuch,Got ##t ##fried Sc ##ha ##f ##bu ##ch,0.9211391806602478
205,MASK,102,1,Shane Kelly,Shane Kelly,0.9989569783210754
206,MASK,103,0,Dominique Corbiau,Dominique Co ##rb ##ia ##u,0.9398576021194458
207,MASK,103,1,Nicole Arendt,Nicole Aren ##dt,0.9976486563682556
208,MASK,104,0,Charles Samuel Baxter,Charles Samuel Baxter,0.9934952855110168
209,MASK,104,1,Jacqueline Martin,Jacqueline Martin,0.9986568689346313
210,MASK,105,0,Gottfried Knöfler,Got ##t ##fried K ##n ##ö ##fle,0.8420659899711609
211,MASK,105,1,Hristo Stoichkov,H ##risto St ##oi ##ch ##kov,0.946636438369751
212,MASK,106,0,Zheng Yixin,Zheng Yi ##xin,0.8525888323783875
213,MASK,106,1,Hubert Grossard,Hubert Gross ##ard,0.9936941266059875
214,MASK,107,0,Joachim Roecker,Joachim Roe ##cker,0.9979454874992371
215,MASK,107,1,Naoko Kijimuta,Na ##oko Ki ##ji ##mu ##ta,0.9196241497993469
216,MASK,108,0,Geoffrey Hardman,Geoffrey Hard ##man,0.9990170001983643
217,MASK,108,1,"""Keith ONeill""",Keith ON ##eil ##l,0.9734509587287903
218,MASK,109,0,Étienne Brossard,Étienne Bros ##sar ##d,0.982513964176178
219,MASK,109,1,Franz Fischler,Franz Fi ##sch ##ler,0.9654097557067871
220,MASK,110,0,Michael Neenan,Michael N ##een ##an,0.9769156575202942
221,MASK,110,1,Dave McPherson,Dave McPherson,0.9972633123397827
222,MASK,111,0,Celso Fernández,Ce ##ls ##o Fernández,0.9526007771492004
223,MASK,111,1,Niclas Fasth,Ni ##c ##las Fast ##h,0.9625717401504517
224,MASK,112,0,Jeri Edwards,Je ##ri Edwards,0.872969388961792
225,MASK,112,1,Markus Feldhoff,Markus Fe ##ld ##hoff,0.9968112111091614
226,MASK,113,0,Viktor Kashin,Viktor Ka ##shin,0.9567591547966003
227,MASK,113,1,Louis Freeh,Louis Free ##h,0.9868418574333191
228,MASK,114,0,Joyce Lonergan,Joyce Lone ##rgan,0.997742235660553
229,MASK,114,1,Marty Jemison,Marty Je ##mis ##on,0.9971172213554382
230,MASK,115,0,Helene Lintemer,Helen ##e Lin ##tem ##er,0.9085018038749695
231,MASK,115,1,Zeng Yaqiong,Zen ##g Ya ##qi ##ong,0.8360748291015625
232,MASK,116,0,Gabriele Helga Franke,Gabriel ##e He ##l ##ga Frank ##e,0.9080811738967896
233,MASK,116,1,Gary Breen,Gary Bree ##n,0.9979254603385925
234,MASK,117,0,Kate Adriaensen,Kate Ad ##ria ##ense ##n,0.9700379371643066
235,MASK,117,1,Sandra Cecchini,Sandra Ce ##cchi ##ni,0.9922970533370972
236,MASK,118,0,Christine M Hunt,Christine M Hunt,0.9872066378593445
237,MASK,118,1,Steve Finley,Steve Fin ##ley,0.9972516894340515
238,MASK,119,0,Zharko Daniloski,Z ##har ##ko Dani ##los ##ki,0.9185934066772461
239,MASK,119,1,Marc Dutroux,Marc Du ##tro ##ux,0.9591522812843323
240,MASK,120,0,Adam Bogdanove,Adam Bo ##g ##dan ##ove,0.9218710064888
241,MASK,120,1,Guy Whittall,Guy W ##hit ##tal ##l,0.8927263021469116
242,MASK,121,0,Leslie Butler,Leslie Butler,0.9980387687683105
243,MASK,121,1,Andy Etchebarren,Andy E ##tch ##eb ##ar ##ren,0.8459013104438782
244,MASK,122,0,Pierre Levesy,Pierre Lev ##es ##y,0.9926572442054749
245,MASK,122,1,Julien Bonetat,Julien Bone ##tat,0.9931290149688721
246,MASK,123,0,N.A.P. Franken,N A P . Frank ##en,0.9900023341178894
247,MASK,123,1,Napoleon III,Napoleon III,0.6832398176193237
248,MASK,124,0,Woldemar Karl Pussul,W ##old ##ema ##r Karl P ##uss ##ul,0.9084650278091431
249,MASK,124,1,Alan Lovell,Alan Love ##ll,0.9986712336540222
250,MASK,125,0,Guido Meda,Guido Me ##da,0.9958004951477051
251,MASK,125,1,Brigita Bukovec,B ##rig ##ita B ##uk ##ove ##c,0.6471854448318481
252,MASK,126,0,Thorfinnur Omarsson,Thor ##fin ##nu ##r Omar ##sson,0.9349872469902039
253,MASK,126,1,David Brabham,David B ##rab ##ham,0.9741371273994446
254,MASK,127,0,Jukka Siren,Ju ##kka Sir ##en,0.8638415336608887
255,MASK,127,1,Raymond Atteveld,Raymond At ##te ##vel ##d,0.953438937664032
256,MASK,128,0,Dora Lai Wan Kwong,Dora Lai Wan K ##won ##g,0.7720786929130554
257,MASK,128,1,Mariano Juan,Mariano Juan,0.9977840185165405
258,MASK,129,0,Mathieu Perrin-Terrin,Math ##ieu Per ##rin Te ##rri ##n,0.9470400810241699
259,MASK,129,1,Gianni Bugno,G ##ian ##ni B ##ug ##no,0.9318366050720215
260,MASK,130,0,Katrien Rubbens,Kat ##rien R ##ub ##ben ##s,0.9391810894012451
261,MASK,130,1,Ali Shah,Ali Shah,0.9803999662399292
262,MASK,131,0,Martina Dippon,Martina Di ##pp ##on,0.9945988059043884
263,MASK,131,1,Kyle Abbott,Kyle Abbott,0.9982877373695374
264,MASK,132,0,Birgit Jaenicke,B ##ir ##git J ##aen ##ick ##e,0.8371043801307678
265,MASK,132,1,Clarence Seedorf,Clarence See ##dorf,0.9928698539733887
266,MASK,133,0,Silvana M. Baraldi-Artoni,Silva ##na M . Bar ##ald ##i Art ##oni,0.9270143508911133
267,MASK,133,1,Colin Jackson,Colin Jackson,0.9988918304443359
268,MASK,134,0,Peter Eton,Peter Eton,0.9987447261810303
269,MASK,134,1,Frank Nobilo,Frank No ##bil ##o,0.9943078756332397
270,MASK,135,0,Nicola Giampietro,Nicola G ##iam ##pie ##tro,0.9706819653511047
271,MASK,135,1,Gillian Russell,Gillian Russell,0.9986454248428345
272,MASK,136,0,David Griffith Cunningham Owens,David Griffith Cunningham Owens,0.9805437326431274
273,MASK,136,1,Pedro Lamy,Pedro Lam ##y,0.9966382384300232
274,MASK,137,0,Drinchen Sengé Zangpo,Dr ##in ##chen Sen ##gé Z ##ang ##po,0.5583757162094116
275,MASK,137,1,Toomas Savi,Too ##mas Sa ##vi,0.8913918137550354
276,MASK,138,0,Bennett G. Novitch,Bennett G . Novi ##tch,0.870092511177063
277,MASK,138,1,Dimas Teixeira,Di ##mas Te ##ix ##eira,0.9852789044380188
278,MASK,139,0,Masanobu Izumi,Ma ##san ##ob ##u I ##zu ##mi,0.9645201563835144
279,MASK,139,1,Yasushi Akashi,Ya ##sus ##hi A ##kas ##hi,0.9342390894889832
280,MASK,140,0,Djavan da Silva Ferreira,D ##ja ##van da Silva Fe ##rre ##ira,0.9411166310310364
281,MASK,140,1,Barry Lane,Barry Lane,0.998125433921814
282,MASK,141,0,Bill Ricca,Bill R ##ic ##ca,0.9144392013549805
283,MASK,141,1,Umberto Bossi,Um ##berto Boss ##i,0.9562908411026001
284,MASK,142,0,Rayhan Febrian,Ray ##han Feb ##rian,0.9821966886520386
285,MASK,142,1,Johan Boonen,Johan Boone ##n,0.9895853996276855
286,MASK,143,0,Peng-Jun Zhang,Pen Jun Zhang,0.9351392388343811
287,MASK,143,1,Gilbert Schaller,Gilbert Sc ##hall ##er,0.9684455990791321
288,MASK,144,0,Vera Knauper,Vera K ##na ##upe ##r,0.9043112993240356
289,MASK,144,1,Craig MacLean,Craig Mac ##L ##ean,0.9814997911453247
290,MASK,145,0,J. F. van Baaren,J . F . van Ba ##are ##n,0.8814576268196106
291,MASK,145,1,Dean Headley,Dean Head ##ley,0.9943029284477234
292,MASK,146,0,Zhiqiang Weng,Z ##hi ##qi ##ang Wen,0.6105995774269104
293,MASK,146,1,Jean Alesi,Jean Al ##esi,0.993600070476532
294,MASK,147,0,Irene Heyroth,Irene Hey ##roth,0.9897014498710632
295,MASK,147,1,Sven Pieters,Sven Pieter ##s,0.9970402121543884
296,MASK,148,0,Raphael Pousa,Raphael Po ##usa,0.9222823977470398
297,MASK,148,1,Ken Hill,Ken Hill,0.9985388517379761
298,MASK,149,0,Gazzola Muti Alberto,G ##az ##zo ##la Mu ##ti Alberto,0.7805830240249634
299,MASK,149,1,Malcolm Marshall,Malcolm Marshall,0.9986646175384521
300,MASK,150,0,Tuhin Mistry,Tu ##hin Mi ##st ##ry,0.7963184714317322
301,MASK,150,1,Steve McManaman,Steve M ##c ##M ##man,0.8641034364700317
302,MASK,151,0,Lenny Nadriana,Lenny Na ##dr ##iana,0.9774588942527771
303,MASK,151,1,Derek Jeter,Derek Jet ##er,0.9858352541923523
304,MASK,152,0,Billy Bischoff,Billy B ##isch ##off,0.9433601498603821
305,MASK,152,1,Rick Huisman,Rick Hui ##sman,0.9958837032318115
306,MASK,153,0,Angela Paula Simonelli,Angela Paula Simone ##lli,0.9900388121604919
307,MASK,153,1,Ian Salisbury,Ian Salisbury,0.9989930987358093
308,MASK,154,0,Roger Loutwardin,Roger Lou ##t ##ward ##in,0.9186617732048035
309,MASK,154,1,Fabio Baldato,F ##abi ##o Ba ##lda ##to,0.9519097208976746
310,MASK,155,0,Tanja Betz,Tan ##ja Bet ##z,0.9031112790107727
311,MASK,155,1,Moshe Sabag,Mo ##she Sa ##bag,0.9609509706497192
312,MASK,156,0,Ulrike Jeßner,U ##l ##rik ##e Je ##ß ##ner,0.8966406583786011
313,MASK,156,1,Asanka Gurusinha,As ##an ##ka Guru ##sin ##ha,0.9655699729919434
314,MASK,157,0,Kiril Kolikov,Ki ##ril Ko ##lik ##ov,0.9594591856002808
315,MASK,157,1,Nancy Reagan,Nancy Reagan,0.9870666265487671
316,MASK,158,0,Ana M Castilla,Ana M Cast ##illa,0.7912776470184326
317,MASK,158,1,Chryste Gaines,Ch ##ry ##ste G ##aines,0.9382947683334351
318,MASK,159,0,Mira Kasslin,Mira Ka ##ss ##lin,0.9512829184532166
319,MASK,159,1,Juan Castro,Juan Castro,0.9984607696533203
320,MASK,160,0,Liis Lemsalu,Li ##is Le ##ms ##al ##u,0.8495209813117981
321,MASK,160,1,Ruxandra Dragomir,R ##ux ##andra Dr ##ago ##mir,0.9106550216674805
322,MASK,161,0,Arbnora Azizi,A ##rb ##nor ##a Aziz ##i,0.8282489776611328
323,MASK,161,1,Dave Richardson,Dave Richardson,0.9988866448402405
